ptsMs,latencyMs,frameType
54583,13733,P
54625,13733,P
54666,13730,B
54708,13736,B
54750,13735,B
54791,13733,P
54833,13732,B
54875,13730,B
54916,14012,B
54958,14013,P
55000,14013,I
55041,14013,B
55083,14016,B
55125,14012,B
55166,14014,P
55208,14020,B
55250,14020,B
55291,14017,B
55333,14015,P
55375,14014,P
55416,14020,B
55458,14018,B
55500,14018,B
55541,14273,P
55583,14274,P
55625,14274,I
55666,14275,P
55708,14275,P
55750,14275,B
55791,14277,P
55833,14283,B
55875,14283,B
55916,14281,B
55958,14278,P
56000,14396,B
56041,14396,P
56083,14400,B
56125,14400,B
56166,14539,B
56208,14539,P
56250,14547,I
56291,14545,P
56333,14543,P
56375,14539,P
56416,14540,P
56458,14546,B
56500,14546,B
56541,14544,B
56583,14541,P
56625,14540,B
56666,14546,B
56708,14544,P
56750,14543,B
56791,14764,P
56833,14771,P
56875,14771,I
56916,14769,P
56958,14767,P
57000,14765,P
57041,14772,P
57083,14769,P
57125,14768,P
57166,14766,P
57208,14771,P
57250,14772,P
57291,14769,P
57333,14768,P
57375,14767,P
57416,14818,P
57458,14827,P
57500,14826,I
57541,14824,P
57583,14817,P
57625,14820,P
57666,14827,P
57708,14824,B
57750,14819,B
57791,14822,B
57833,14819,P
57875,14827,B
57916,14825,B
57958,14823,P
58000,14821,P
58041,15083,P
58083,15090,P
58125,15087,I
58166,15086,P
58208,15084,P
58250,15091,P
58291,15090,P
58333,15088,P
58375,15086,P
58416,15084,P
58458,15090,P
58500,15090,P
58541,15088,P
58583,15086,P
58625,15084,P
58666,15403,P
58708,15405,P
58750,15403,I
58791,15403,P
58833,15412,P
58875,15405,P
58916,15403,P
58958,15406,P
59000,15405,P
59041,15412,P
59083,15410,P
59125,15409,P
59166,15406,P
59208,15404,P
59250,15411,P
59291,15668,P
59333,15671,P
59375,15670,I
59416,15676,B
59458,15675,B
59500,15668,P
59541,15672,B
59583,15669,B
59625,15676,B
59666,15675,P
59708,15672,B
59750,15671,B
59791,15670,B
59833,15676,P
59875,15674,B
59916,15830,B
59958,15830,P
60000,15838,I
60041,15835,P
60083,15833,B
60125,15832,B
60166,15838,P
60208,15836,B
60250,15836,B
60291,15834,B
60333,15832,P
60375,15838,B
60416,15837,B
