pts_sec latencyMs frameType
65.208 17332 B
65.25 17339 B
65.291 17337 B
65.333 17336 P
65.375 17335 B
65.416 17333 B
65.458 17339 B
65.5 17338 P
65.541 17574 B
65.583 17582 P
65.625 17574 I
65.666 17578 B
65.708 17576 B
65.75 17584 B
65.791 17581 P
65.833 17579 P
65.875 17578 B
65.916 17577 B
65.958 17575 B
66.0 17582 P
66.041 17580 B
66.083 17577 B
66.125 17577 B
66.166 17817 P
66.208 17821 P
66.25 17818 I
66.291 17825 B
66.333 17824 P
66.375 17823 P
66.416 17820 B
66.458 17818 B
66.5 17826 B
66.541 17823 P
66.583 17822 B
66.625 17820 B
66.666 17819 B
66.708 17825 P
66.75 17823 B
66.791 18040 B
66.833 18043 P
66.875 18042 I
66.916 18048 B
66.958 18047 B
67.0 18045 B
67.041 18043 P
67.083 18041 B
67.125 18048 B
67.166 18046 B
67.208 18045 P
67.25 18043 P
67.291 18042 B
67.333 18047 B
67.375 18046 P
67.416 18279 B
67.458 18278 P
67.5 18281 I
67.541 18288 B
67.583 18286 B
67.625 18284 P
67.666 18279 P
67.708 18281 P
67.75 18288 P
67.791 18286 B
67.833 18284 B
67.875 18283 B
67.916 18281 P
67.958 18286 P
68.0 18285 P
68.041 18501 P
68.083 18505 P
68.125 18502 I
68.166 18502 B
68.208 18507 B
68.25 18504 B
68.291 18503 P
68.333 18503 P
68.375 18501 P
68.416 18503 P
68.458 18505 B
68.5 18506 B
68.541 18501 P
68.583 18510 B
68.625 18502 B
68.666 18688 B
68.708 18697 P
68.75 18696 I
68.791 18694 B
68.833 18808 P
68.875 18810 P
68.916 18816 P
68.958 18815 P
69.0 18930 P
69.041 18930 P
69.083 18938 P
69.125 18936 P
69.166 18934 B
69.208 18933 B
69.25 18931 P
69.291 19220 P
69.333 19223 P
69.375 19222 I
69.416 19229 B
69.458 19226 B
69.5 19226 B
69.541 19223 P
69.583 19222 B
69.625 19221 B
69.666 19222 B
69.708 19220 P
69.75 19223 P
69.791 19220 P
69.833 19228 B
69.875 19221 B
69.916 19342 B
69.958 19343 P
70.0 19349 I
70.041 19344 B
70.083 19345 B
70.125 19344 B
70.166 19350 P
70.208 19348 B
70.25 19342 B
70.291 19345 B
70.333 19344 P
70.375 19351 B
70.416 19348 B
70.458 19347 B
70.5 19345 P
70.541 19548 B
70.583 19548 P
70.625 19557 I
70.666 19555 B
70.708 19552 P
70.75 19551 P
70.791 19549 P
70.833 19555 B
70.875 19555 B
70.916 19553 B
70.958 19550 P
71.0 19549 B
71.041 19556 B
71.083 19553 B
71.125 19553 P
71.166 19550 P
71.208 19624 P
71.25 19627 I
71.291 19634 B
71.333 19631 B
71.375 19630 B
71.416 19629 P
71.458 19627 B
71.5 19625 B
71.541 19631 B
71.583 19630 P
71.625 19629 B
71.666 19625 B
71.708 19631 B
71.75 19632 P
71.791 19698 B
71.833 19698 P
71.875 19707 I
71.916 19704 B
71.958 19702 B
72.0 19702 B
72.041 19699 P
72.083 19705 B
72.125 19698 B
72.166 19702 B
72.208 19701 P
72.25 19699 B
72.291 19705 B
72.333 19704 B
72.375 19702 P
72.416 19979 B
72.458 19981 P
72.5 19979 I
72.541 19979 B
72.583 19979 B
72.625 19981 P
72.666 19981 B
72.708 19979 B
72.75 19983 B
72.791 19981 P
72.833 19988 B
72.875 19987 B
72.916 19985 B
72.958 19983 P
73.0 19981 B
73.041 20060 B
73.083 20065 P
73.125 20064 I
73.166 20063 B
73.208 20069 P
73.25 20068 P
73.291 20066 P
73.333 20059 P
73.375 20063 P
73.416 20069 P
73.458 20066 B
73.5 20066 P
73.541 20064 B
73.583 20061 B
73.625 20069 B
73.666 20176 P
73.708 20176 P
73.75 20176 I
