ptsMs,latencyMs,frameType
101375,13663,P
101541,13615,P
101708,13449,P
101791,13883,P
101833,13893,P
101875,13891,I
102000,13766,P
102083,13799,P
102125,13800,P
102166,13807,P
102208,13806,P
102250,13803,P
102375,14024,P
102458,13941,P
102500,14042,I
102583,13960,P
102625,14125,P
102666,14131,P
102833,13965,P
103000,14183,P
103083,14100,P
103125,14181,I
103208,14098,P
103250,14305,P
103291,14306,P
103333,14313,P
103500,14147,P
103666,14424,P
103708,14426,P
103750,14424,I
103916,14258,P
103958,14264,P
104000,14261,P
104041,14259,P
104083,14266,P
104125,14265,P
104166,14263,P
104208,14262,P
104250,14260,P
104291,14398,P
104333,14401,P
104375,14407,I
104416,14405,P
104458,14404,P
104500,14402,P
104541,14400,P
104583,14407,P
104625,14405,P
104666,14403,P
104708,14401,P
104750,14408,P
104791,14406,P
104833,14405,P
104875,14402,P
104916,14742,P
104958,14744,P
105000,14741,I
105041,14748,P
105083,14742,P
105125,14744,P
105166,14743,P
105208,14750,P
105250,14748,P
105291,14746,P
105333,14744,P
105375,14743,P
105541,14983,P
105583,14985,P
105625,14985,I
105666,14987,P
105708,14986,P
105750,14984,P
105791,14989,P
105833,14985,P
105875,14984,P
105916,14983,P
105958,15062,P
106000,15064,P
106041,15062,P
106083,15067,P
106166,15330,P
106208,15334,P
106250,15331,I
106291,15338,P
106333,15337,P
106375,15335,P
106500,15215,P
106583,15266,P
106625,15269,P
106708,15186,P
106791,15548,P
106833,15551,P
106875,15549,I
106916,15553,P
106958,15549,P
107000,15549,P
107041,15556,P
107125,15478,P
107208,15857,P
107333,15732,P
107458,15793,P
107500,15793,I
107541,15800,P
107708,15634,P
107791,15705,P
107833,15706,P
107958,15581,P
108000,15581,P
108041,15952,P
108083,15954,P
108125,15961,I
108166,15959,P
108333,15798,P
108375,15885,P
108541,15719,P
108583,16216,P
108625,16216,P
108666,16218,P
108708,16217,P
108750,16224,I
108791,16233,P
108875,16150,P
109041,16397,P
