at_sec latencyMs frameType
106.728 476 B
106.767 474 B
106.809 475 P
106.856 479 B
106.895 478 B
106.936 476 B
106.974 472 P
107.015 472 B
107.063 479 B
107.102 476 B
107.143 476 P
107.194 484 B
107.239 487 P
107.279 487 I
107.322 487 B
107.362 485 P
107.407 490 B
107.447 487 P
107.488 486 B
107.531 488 P
107.576 491 B
107.615 489 B
107.655 487 B
107.695 485 P
107.741 489 B
107.780 487 B
107.819 484 B
107.863 486 P
107.908 490 I
107.945 485 B
107.988 486 B
108.031 488 B
108.072 487 P
108.115 488 B
108.160 492 B
108.199 489 B
108.240 488 P
108.280 487 B
108.322 488 B
108.363 486 B
108.407 490 P
108.408 365 I
108.450 365 B
108.495 368 B
108.536 368 B
108.575 365 P
108.617 365 P
108.664 371 B
108.703 368 P
108.743 367 P
108.784 367 B
108.824 364 B
108.871 369 B
108.912 369 P
109.017 432 B
109.064 437 P
109.103 435 I
109.145 435 B
109.185 433 B
109.232 439 B
109.272 437 P
109.311 434 B
109.351 433 B
109.400 440 B
109.439 437 P
109.479 437 B
109.517 432 B
109.559 432 P
109.608 440 B
109.714 504 B
109.759 508 P
109.800 507 I
109.842 507 B
109.888 511 B
109.927 509 B
109.967 508 P
110.008 506 B
110.055 513 B
110.095 510 B
110.136 509 P
110.174 507 B
110.215 506 P
110.256 505 B
110.304 511 B
110.342 507 B
110.383 506 P
110.422 504 I
110.471 511 B
110.511 509 B
110.551 508 B
110.591 506 P
110.639 512 B
110.679 512 B
110.716 506 B
110.758 506 P
110.799 506 B
110.845 510 B
110.887 510 B
110.926 508 P
110.967 507 B
111.007 505 P
111.053 510 I
111.091 506 B
111.130 503 B
111.175 508 B
111.215 505 P
111.259 507 B
111.299 506 B
111.343 508 B
111.383 507 P
111.424 506 P
111.519 559 P
111.567 565 P
111.567 399 I
111.609 399 B
111.656 404 B
111.695 402 P
111.736 401 P
111.775 398 P
111.824 406 P
111.863 404 P
111.902 400 P
111.943 400 P
111.984 399 P
112.032 405 P
112.151 483 P
112.200 490 P
112.200 407 I
112.242 407 P
112.287 411 P
112.327 409 P
112.371 411 P
112.408 406 P
112.456 413 P
112.495 410 P
112.536 409 P
112.577 409 P
112.623 413 P
112.663 411 P
112.771 478 P
112.816 481 P
112.816 398 I
112.848 388 P
112.896 394 P
112.936 393 B
112.975 390 B
113.015 388 P
113.063 395 B
113.103 393 B
113.143 391 B
113.181 388 P
113.232 397 B
113.271 394 B
113.311 393 B
113.404 444 P
113.447 445 P
113.491 448 I
113.530 446 B
113.570 443 P
113.615 448 B
113.656 446 P
113.698 446 P
113.736 444 P
113.783 448 P
113.823 446 P
113.864 446 P
113.905 445 P
113.951 449 P
113.991 449 P
114.047 462 P
114.095 468 P
114.135 467 I
114.175 465 P
114.214 462 P
114.264 471 P
114.303 468 P
114.343 466 P
114.380 462 P
114.423 463 P
114.471 469 P
114.509 466 B
114.548 464 P
114.591 464 B
114.638 470 P
114.676 467 P
114.705 453 P
114.751 458 I
114.792 457 B
114.831 455 B
114.880 462 P
114.919 459 B
114.960 458 B
115.000 457 B
115.038 453 P
115.087 460 B
115.127 459 B
115.167 457 B
115.205 454 P
115.246 453 B
115.294 459 B
115.334 457 P
115.373 455 I
115.415 455 B
115.463 462 B
115.501 459 P
115.541 456 B
115.584 457 B
115.624 456 B
115.669 459 P
115.708 456 B
115.748 455 B
115.791 456 B
115.831 454 P
115.877 459 B
115.915 455 B
115.955 453 P
115.999 457 I
116.039 454 B
116.085 458 B
116.122 454 P
116.168 458 B
116.207 455 B
116.251 458 B
116.295 460 P
116.335 458 B
116.376 458 B
116.416 456 B
