at,ptsMs,payloadSizeBytes,frameType
35755,36166,764,B
36030,36250,22621,I
36056,36416,2213,P
36068,36333,801,B
36077,36291,656,B
36087,36375,646,B
36130,36583,3915,P
36142,36500,997,B
36155,36458,780,B
36164,36541,658,B
36209,36750,3929,P
36222,36666,936,B
36262,36625,849,B
36302,36708,688,B
36367,36833,2958,P
36385,36791,705,B
36646,36875,21620,I
36671,37041,2118,P
36682,36958,781,B
36690,36916,598,B
36699,37000,590,B
36742,37208,3787,P
36755,37125,948,B
36765,37083,727,B
36774,37166,685,B
36837,37375,4108,P
36850,37291,993,B
36884,37250,855,B
36926,37333,596,B
36991,37458,3018,P
37011,37416,733,B
37284,37500,22820,I
37305,37666,1860,P
37316,37583,819,B
37325,37541,616,B
37335,37625,619,B
37371,37833,3225,P
37384,37750,912,B
37394,37708,740,B
37403,37791,526,B
37464,38000,4355,P
37475,37916,929,B
37506,37875,827,B
37551,37958,659,B
37628,38083,4016,P
37638,38041,714,B
37902,38125,22665,I
37926,38291,2150,P
37936,38208,814,B
37947,38166,669,B
37956,38250,626,B
37996,38458,3676,P
38009,38375,913,B
38020,38333,776,B
38029,38416,616,B
38086,38625,4104,P
38099,38541,966,B
38135,38500,770,B
38174,38583,574,B
38240,38708,2863,P
38260,38666,767,B
38529,38750,22340,I
38555,38916,2246,P
38566,38833,860,B
38576,38791,650,B
38584,38875,598,B
38627,39083,3769,P
38639,39000,1052,B
38651,38958,749,B
38661,39041,655,B
38707,39250,3740,P
38740,39166,1235,B
38761,39125,888,B
38802,39208,745,B
38871,39333,3348,P
38885,39291,787,B
39149,39375,22395,I
39170,39541,1843,P
39182,39458,839,B
39191,39416,619,B
39199,39500,526,B
39242,39708,3886,P
39253,39625,887,B
39263,39583,702,B
39271,39666,593,B
39336,39875,3925,P
39347,39791,913,B
39385,39750,690,B
39435,39833,595,B
39494,39958,3135,P
39509,39916,700,B
39786,40000,23015,I
39809,40166,1992,P
39822,40083,893,B
39830,40041,596,B
39839,40125,557,B
39872,40333,2947,P
39884,40250,929,B
39894,40208,695,B
39904,40291,653,B
39962,40500,4101,P
39972,40416,836,B
40011,40375,756,B
40051,40458,604,B
40129,40583,4131,P
40140,40541,786,B
40420,40625,23829,I
40440,40791,1680,P
40451,40708,836,B
40460,40666,613,B
40468,40750,593,B
40514,40958,3958,P
40524,40875,788,B
40534,40833,679,B
40543,40916,610,B
40591,41125,4402,P
40604,41041,873,B
40635,41000,783,B
